"","subID","degree","outdegree","indegree","degree_scaled","outdegree_scaled","indegree_scaled"
"75","7",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"76","7",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"77","7",5,4,1,0.315420936818583,0.85925247569506,-0.471032694114565
"78","7",4,1,3,0.0166011019378201,-0.411970365059275,0.497948848063969
"79","7",5,3,2,0.315420936818583,0.435511528776948,0.0134580769747018
"80","7",3,1,2,-0.282218732942943,-0.411970365059275,0.0134580769747018
"81","7",4,3,1,0.0166011019378201,0.435511528776948,-0.471032694114565
"82","7",2,1,1,-0.581038567823706,-0.411970365059275,-0.471032694114565
"83","7",5,4,1,0.315420936818583,0.85925247569506,-0.471032694114565
"84","7",4,3,1,0.0166011019378201,0.435511528776948,-0.471032694114565
"85","7",2,0,2,-0.581038567823706,-0.835711311977387,0.0134580769747018
