"","subID","edgeTot","dense","aveDist","idTrans","globEff","numID","meanStre","sumStre","idSimGlob","recip","diam","apl","aplW","modular","modularW","compact","compactW","cohes","cohesW","centrDeg","centrBet","centrClo","centEig","centrDegW","centrBetW","centrCloW","centrEigW","sdDeg","sdBet","sdClo","sdEig","sdDegW","sdBetW","sdCloW","sdEigW","importance_Homoph","clear_Homoph","easy_Homoph","agency_Homoph","transformativeness_Homoph","change_Homoph","recency_12_Homoph","recency_13_Homoph","recency_14_Homoph","recency_sum_Homoph"
"subShort.16",59,19,0.0344202898550725,1.33333333333333,0.51219512195122,0.101449275362319,24,125.333333333333,3008,0.0550099859882468,0,164,1.33333333333333,92.4814814814815,0.548476454293629,0.548476454293629,0.101449275362319,0.00161453993339469,0,0,0.100189035916824,0.0115999312596666,NA,0.853569170182237,0.100189035916824,0.0115999312596666,NA,0.853569170182237,1.61290088826385,1.24455335099716,NA,0.355344544511512,1.61290088826385,1.24455335099716,NA,0.345920983461354,-0.383003568194569,-0.260494187099376,0.0128303579856749,0.0939245755271558,-0.146961644223611,-0.0970457424116678,NA,NA,NA,0.470925996315771
"subShort.17",45,67,0.121376811594203,2.30451127819549,0.36,0.55042270531401,24,473.75,11370,0.195030567968548,0.17910447761194,438,2.30451127819549,184.022556390977,0.399643573178882,0.403876141679661,0.55042270531401,0.018890081564052,0,0,0.100189035916824,0.0423612304519677,NA,0.477297301868201,0.100189035916824,0.0423612304519677,NA,0.477297301868201,2.32035729382664,11.2286049911959,NA,0.270525334937734,2.32035729382664,13.679496452297,NA,0.283802795606664,-0.0744812712044706,0.00904681245227077,0.211404398148214,-0.0463407600696948,-0.0476083448530116,-0.241036660508866,NA,NA,NA,0.0467647004916432
"subShort.18",61,48,0.0869565217391304,2.34183673469388,0.360995850622407,0.517028985507246,24,185.833333333333,4460,0.208295733521201,0,285,2.34183673469388,132.265306122449,0.412326388888889,0.368489583333333,0.517028985507246,0.020058250479193,0,0,0.272211720226843,0.20080769891734,NA,0.763380112473546,0.272211720226843,0.20080769891734,NA,0.763380112473545,2.90426972037648,27.6486430728185,NA,0.216479359349626,2.90426972037648,27.5600792998586,NA,0.2375782272605,0.237424586516305,0.465886655863031,0.32783680837679,0.0231247562874907,0.244787436875379,0.0761883362947918,NA,NA,NA,0.439615879043568
"subShort.19",44,55,0.0996376811594203,2.0126582278481,0.444976076555024,0.468780193236715,24,232.5,5580,0.157603819381986,0.218181818181818,232,2.0126582278481,88.8607594936709,0.491570247933884,0.466776859504132,0.468780193236715,0.0119549474140044,0,0,0.145557655954631,0.0644440625537034,NA,0.696654931328998,0.145557655954631,0.0644440625537034,NA,0.696654931328998,2.20506662951025,9.77241014284603,NA,0.277700697567216,2.20506662951025,8.48997704030627,NA,0.304223348526182,-0.1066727781432,-0.0516769143008129,-0.164214914513783,-0.107330442251073,-0.138225762683128,-0.201321580660552,0.129075470473347,NA,NA,0.129075470473346
"subShort.20",43,25,0.0452898550724638,1.70833333333333,0.333333333333333,0.12469806763285,24,162.666666666667,3904,0.0486657464918335,0.4,335,1.70833333333333,123.916666666667,0.6112,0.5808,0.12469806763285,0.00232404478702291,0,0,0.0888468809073724,0.0228561608523801,NA,0.846838328723733,0.0888468809073724,0.0228561608523801,NA,0.846838328723733,1.61290088826385,2.98061369033535,NA,0.346871864195148,1.61290088826385,3.06334098183903,NA,0.312266855575259,0.152721551035296,-0.277342208426004,-0.14433756729731,-0.0837970659965354,-0.177977513400121,-0.0668153104780981,NA,NA,NA,-0.0381432140085848
"subShort.21",108,158,0.286231884057971,1.27981651376147,0.708715596330275,0.778381642512077,24,939.75,22554,0.549616535717329,0.0127388535031847,180,1.27981651376147,85.9816513761468,0.0781525396571062,0.0433283297496856,0.778381642512077,0.0125655673837504,0,0,0.155009451795841,0.023010826602509,NA,0.348337051743257,0.156899810964083,0.0229249011857708,NA,0.353521988983915,5.03610155185335,3.86327103941641,NA,0.255114088521593,4.98621287557799,4.44939337991994,NA,0.269616980958179,-0.0444421975512473,-0.0494309590596804,0.0273311207067756,NA,NA,0.0378208247586144,NA,NA,NA,-0.00251865390592354
"subShort.22",42,35,0.0634057971014493,1.57377049180328,0.442622950819672,0.16256038647343,24,234.75,5634,0.0705601564297218,0.457142857142857,324,1.57377049180328,124.704918032787,0.679183673469388,0.67265306122449,0.16256038647343,0.00243243877774813,0,0,0.11531190926276,0.0114280804261901,NA,0.871081669694419,0.11531190926276,0.0114280804261901,NA,0.871081669694419,1.6396358733272,2.16652730878476,NA,0.310158106096525,1.6396358733272,2.16652730878476,NA,0.296193263894011,0.0537711965879334,-0.0109178286684274,0.247593784235744,NA,0.0728624817338951,0.0915359219915992,NA,NA,NA,0.525641464988242
"subShort.23",41,41,0.0742753623188406,2.16666666666667,0.194444444444444,0.442149758454106,24,47.5,1140,0.076089832068093,0.0666666666666667,125,2.16666666666667,27.7205882352941,0.462224866151101,0.475555555555556,0.442149758454106,0.0422425654155993,0,0,0.0586011342155009,0.0508678467090565,NA,0.561399445156908,0.056710775047259,0.0213954287678295,NA,0.710932919728705,1.52989532653215,8.07258735887489,NA,0.267112580494624,1.56037899521099,5.08763775941394,NA,0.279356714855438,0.185279000381057,0.0448023989930436,0.12196241655232,0.147467927848601,-0.0279446509351074,0.244177044074956,0.15730630045398,NA,NA,0.153906161466722
"subShort.24",39,36,0.0652173913043478,1.81944444444444,0.266666666666667,0.391425120772947,24,246.666666666667,5920,0.124243007395181,0.222222222222222,440,1.81944444444444,156.375,0.606481481481481,0.606481481481481,0.391425120772947,0.00494089394416799,0,0,0.136105860113422,0.0299879704416566,NA,0.812170395610431,0.136105860113422,0.0299879704416566,NA,0.812170395610431,1.91106617181182,4.81825484072241,NA,0.305469318913718,1.91106617181182,4.81825484072241,NA,0.316351397075249,0.156184922604789,0.00642492566204686,-0.033522527864965,NA,-0.0210578826056376,-0.0455982518151529,NA,NA,NA,0.0819143929208593
"subShort.25",75,104,0.188405797101449,2.29166666666667,0.466367713004484,0.651570048309179,24,654.75,15714,0.337545367755448,0.365384615384615,440,2.29166666666667,158.717391304348,0.300850591715976,0.299371301775148,0.651570048309179,0.0128664061717171,1,1,0.506616257088847,0.553720570544767,0.128755270567192,0.698031375801263,0.506616257088847,0.553720570544767,0.128755270567192,0.698031375801263,5.34599945238751,62.8975693254766,0.00237014410754787,0.163182220727841,5.34599945238751,68.9782574439221,3.58367113709411e-05,0.181666244600858,-0.13821272155608,-0.130161035238617,-0.0225615220518279,-0.105830967391729,-0.0545882139589775,-0.0432299831861653,NA,NA,NA,-0.0125304907924369
